ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
;Perlengkapan Latihan; 20.175.000 ;;;;;;; 6.000.000 ; 3.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 
;Medis; - ;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
;Hotline; - ;;;;;;;;;;;;
;Promosi ; 1.000.000 ;;;;;;; 1.000.000 ;;;;;
;;;;;;;;;;;;;;
TOTAL BIAYA;; 196.915.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 40.040.000 ; 32.240.000 ; 31.040.000 ; 35.115.000 ; 31.740.000 ; 26.740.000 
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
5-07. FASILITAS;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0701-01;Gaji Staff; 852.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 ; 71.000.000 
;Tunjangan Hari Raya; 71.000.000 ;;; 71.000.000 ;;;;;;;;;
Operasional Fasilitas;;;;;;;;;;;;;;
5-0702-01;Pemeliharaan Lapangan; 84.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 
;Utilitas Lapangan; 96.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 ; 8.000.000 
5-0702-02;Pemeliharaan Wisma; 60.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 ; 5.000.000 
5-0702-03;Catering; 82.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 7.000.000 ; 5.000.000 
5-0702-04;Utilitas Wisma; 322.000.000 ; 36.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 ; 26.000.000 
5-0702-05;Dapur dan Kebersihan; 72.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 ; 6.000.000 
;Operasional; 30.000.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 
;Sewa Lahan; 156.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 ; 13.000.000 
TOTAL BIAYA;; 1.825.000.000 ; 155.500.000 ; 145.500.000 ; 216.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 145.500.000 ; 143.500.000 
;;;;;;;;;;;;;;
5-08. PROGRAM DAN EVENT;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTOBER;NOVEMBER;DESEMBER
5-0801-01;Operasional Young Tiger League; 23.550.000 ;;;;; 7.850.000 ;; 7.850.000 ;;;;; 7.850.000 
5-0801-02;Operasional Belajar Bola Bersama; 25.300.000 ;;;;;;;; 25.300.000 ;;;;
5-0801-03;Operasional Pelatihan Lisensi D; 465.700.000 ;;;;; 116.425.000 ;;; 116.425.000 ;; 116.425.000 ;; 116.425.000 
5-0801-04;Operasional Workshop; -   ;;;;;;;;;;;;
;Operasional Talent Audisi Persija; 50.479.000 ;;;;; 5.339.500 ; 5.339.500 ; 39.800.000 ;;;;;
;Operasional Epa ( Panpel ); 129.000.000 ;;;;;;;;; 32.250.000 ; 32.250.000 ; 32.250.000 ; 32.250.000 
;Operasional Liga Topskor; 204.155.000 ;; 204.155.000 ;;;;;;;;;;
;Operasional Persija Super Clinic; 153.800.000 ; 38.450.000 ;;;; 38.450.000 ;;;; 38.450.000 ;;; 38.450.000 
;Operasional Pesantren Bola; 24.450.000 ;;; 24.450.000 ;;;;;;;;;
;;;;;;;;;;;;;;
TOTAL BIAYA;; 1.076.434.000 ; 38.450.000 ; 204.155.000 ; 24.450.000 ; -   ; 168.064.500 ; 5.339.500 ; 47.650.000 ; 141.725.000 ; 70.700.000 ; 148.675.000 ; 32.250.000 ; 194.975.000 
;;;;;;;;;;;;;;
5-09. MANAJEMEN;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji dan Tunjangan;;;;;;;;;;;;;;
5-0901-01;Gaji Manajemen; 2.100.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 ; 175.000.000 
5-0901-02;Tunjangan Hari Raya; 175.000.000 ;;; 110.000.000 ;;;;;;;;; 65.000.000 
5-0901-03;Beban & Tunjangan Pajak; 498.000.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 ; 41.500.000 
5-0901-04;BPJS; 102.000.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 ; 8.500.000 
